Species,POINT_X,POINT_Y
Amblyomma americanum_all,-76.6229935,35.5401669
Amblyomma americanum_all,-83.4612923,37.7720337
Amblyomma americanum_all,-92.8335228,38.1991978
Amblyomma americanum_all,-93.2982445,37.2153263
Amblyomma americanum_all,-94.3624992,45.9763565
Amblyomma americanum_all,-94.7691154,36.593689
Amblyomma americanum_all,-77.0283089,38.6676178
Amblyomma americanum_all,-91.187,32.408
Amblyomma americanum_all,-80.7062227,36.3972359
Amblyomma americanum_all,-92.0603,36.88254
Amblyomma americanum_all,-82.4112358,33.0015373
Amblyomma americanum_all,-78.8881989,35.0527
Amblyomma americanum_all,-78.6154481,34.2141988
Amblyomma americanum_all,-76.3133466,38.9539793
Amblyomma americanum_all,-76.6077232,36.0598271
Amblyomma americanum_all,-86.040556,39.290278
Amblyomma americanum_all,-98.4933891,33.9137115
Amblyomma americanum_all,-91.29944,31.10444
Amblyomma americanum_all,-84.87575,34.50336
Amblyomma americanum_all,-75.2038,38.09179
Amblyomma americanum_all,-87.52503,33.28955
Amblyomma americanum_all,-78.8936673,33.6948946
Amblyomma americanum_all,-80.027761,36.774436
Amblyomma americanum_all,-76.9430389,39.2064934
Amblyomma americanum_all,-94.15417,37.95611
Amblyomma americanum_all,-78.71833,39.82306
Amblyomma americanum_all,-77.99555,38.67151
Amblyomma americanum_all,-88.4272652,33.4956722
Amblyomma americanum_all,-77.128315,40.1498127
Amblyomma americanum_all,-80.55,28
Amblyomma americanum_all,-97.50889,28.03639
Amblyomma americanum_all,-94.1779421,35.2607508
Amblyomma americanum_all,-95.9718,31.1984
Amblyomma americanum_all,-77.4602623,37.5537605
Amblyomma americanum_all,-92.1395874,34.9039529
Amblyomma americanum_all,-78.8572921,36.0512598
Amblyomma americanum_all,-84.4887886,30.0599241
Amblyomma americanum_all,-86.1694145,37.9899147
Amblyomma americanum_all,-86.8469429,34.9696042
Amblyomma americanum_all,-79.29,37.36361
Amblyomma americanum_all,-88.555418,32.551715
Amblyomma americanum_all,-94.41583,38.51557
Amblyomma americanum_all,-97.5164299,35.4675617
Amblyomma americanum_all,-94.8210564,35.5803719
Amblyomma americanum_all,-84.45694,39.16194
Amblyomma americanum_all,-76.1646169,39.5095539
Amblyomma americanum_all,-77.3663521,35.6126633
Amblyomma americanum_all,-88.6493,39.5843
Amblyomma americanum_all,-97.02222,38.97222
Amblyomma americanum_all,-96.7211,34.3486
Amblyomma americanum_all,-93.60188,38.74275
Amblyomma americanum_all,-71.5109804,42.5375919
Amblyomma americanum_all,-94.290393,33.434429
Amblyomma americanum_all,-97.3375435,37.692234
Amblyomma americanum_all,-85.4668999,37.8092308
Amblyomma americanum_all,-95.0066,39.91867
Amblyomma americanum_all,-72.9934926,40.9669994
Amblyomma americanum_all,-93.1104732,31.1310384
Amblyomma americanum_all,-92.0937767,37.982841
Amblyomma americanum_all,-76.1302032,44.0670119
Amblyomma americanum_all,-93.2185173,36.6436729
Amblyomma americanum_all,-79.87639,34.29972
Amblyomma americanum_all,-70.54528,44.21389
Amblyomma americanum_all,-71.2647679,41.6772631
Amblyomma americanum_all,-99.3339729,34.6381245
Amblyomma americanum_all,-76.5255089,37.4137516
Amblyomma americanum_all,-84.9670713,32.4614086
Amblyomma americanum_all,-81.6164822,31.9937096
Amblyomma americanum_all,-78.1633339,39.1856613
Amblyomma americanum_all,-88.03589,36.74891
Amblyomma americanum_all,-85.95167,36.25222
Amblyomma americanum_all,-76.4966087,42.44063
Amblyomma americanum_all,-87.7730446,30.8829632
Amblyomma americanum_all,-87.2201747,30.4287072
Amblyomma americanum_all,-87.4988899,37.3280983
Amblyomma americanum_all,-89.201237,31.1896126
Amblyomma americanum_all,-88.9992218,33.8984451
Amblyomma americanum_all,-94.8456651,37.1701488
Amblyomma americanum_all,-76.2802426,36.7081798
Amblyomma americanum_all,-74.0843672,41.5015441
Amblyomma americanum_all,-93.055,34.50361
Amblyomma americanum_all,-98.4835099,34.6823508
Amblyomma americanum_all,-85.5486378,30.0445485
Amblyomma americanum_all,-98.50063,38.50029
Amblyomma americanum_all,-100.4370384,31.4637737
Amblyomma americanum_all,-77.72028,39.64167
Amblyomma americanum_all,-82.3248253,29.6516342
Amblyomma americanum_all,-75.6329029,35.9569047
Amblyomma americanum_all,-79.1027946,36.756525
Amblyomma americanum_all,-89.9851536,38.4403309
Amblyomma americanum_all,-92.5971146,36.2789593
Amblyomma americanum_all,-87.99528,35.38694
Amblyomma americanum_all,-97.6744843,38.5690774
Amblyomma americanum_all,-79.93111,32.77639
Amblyomma americanum_all,-74.5829353,39.9726162
Amblyomma americanum_all,-77.20278,36.88889
Amblyomma americanum_all,-79.9805035,40.4313764
Amblyomma americanum_all,-80.32583,27.44639
Amblyomma americanum_all,-93.6520767,32.5049515
Amblyomma americanum_all,-85.46108,35.47507
